﻿Column1,Column2
"Devant 15.000 Nîmois, six taureaux étripèrent sept modestes cavales et furent estoqués par les matadors Conejito et Bombita Chico.",
Des actes ! Le Lillois Craissac a mangé sa tartine de zinc. Ses contradicteurs ont refusé de manger leur céruse.,
"Gare de Maçon, Mouroux eut les jambes coupées par une machine. « Voyez donc mes pieds sur la voie ! » dit-il, et il s’évanouit.",Gare de Maçon
"Avec une fourche à quatre dents, le laboureur David, de Courtemaux (Loiret), a tué sa femme qu’il croyait, bien à tort, infidèle.",Loiret
"Sa piété s’étant montrée trop fougueuse, le maire de Saint-Gervais (Gironde), avait été condamné. On le suspend de ses fonctions.",Saint-Gervais; Gironde
Une Toulonnaise de 16 ans contait au commissaire central qu’elle a tué son nouveau-né. Il la mit en prison aussitôt.,Toulonnaise
"Cambrée sur la barre de la fenêtre, G. Laniel, de Meaux, 9 ans, enfilait ses bottines. Elle bascula et tomba dans la rue.",Meaux
"Trouvant qu’on le laissait trop longtemps au violon de Plouescat, l’ivrogne Abgrall, de Guimilliau (Finistère), y a mis le feu.",Plouescat; Guimilliau; Finistère
"Inculpée d’avoir laissé mourir d’inanition sa jeune bâtarde, Mme Inizan, vachère à Guiclan (Finistère), a été arrêtée.",Guiclan; Finistère
"Dans une rixe entre enfants, à Gueugnon (Saône-et-Loire), Pissis a presque tué à coups de couteau Fournier.",Gueugnon; Saône-et-Loire; Pissis
"À cause des privautés qu’il avait prises avec son apprentie, 13 ans, un tailleur de Toulon a été arrêté hier.",Toulon
"Chez un tourneur de Bordeaux, une meule électrique a éclaté, fracassant d’un de ses fragments la tête du jeune Léchelle.",Bordeaux; Léchelle
Sisowath a eu des acrobates de café-concert en séance privée. Il a remis à M. Chanot 1.200 francs pour les pauvres et la police.,Sisowath
"Les ouvriers des autres porcelaineries de Limoges ont refusé d’aller remplacer, chez M. Haviland, leurs camarades en grève.",Limoges
"Catherine Rosello, de Toulon, mère de quatre enfants, voulut éviter un train de marchandises. Un train de voyageurs l’écrasa.",Toulon
"Cependant que le Hoche manœuvrait au large de Toulon, le matelot Clovis Guerry s’est pendu à bord.",le Hoche; Toulon
"Comme elle sortait d’un hôtel de Bordeaux avec M. Anizan, Léontine Cagnat reçut de la femme de cet ingénieur une balle.",Bordeaux
"Une bombe (poudre et douze balles Lebel) qui n’éclata pas a été mise au seuil d’un rentier de Solesmes (Nord), M. Dubuisson.",Solesmes; Nord
"Son cancer était intolérable. M. Henrion, de Châtillon-Laborde (Seine-et-Marne), s’est coupé la gorge avec un couteau et un rasoir.",Seine-et-Marne
"À la faveur de l’entaille du métro, deux pans des remparts de Lutèce ont été mis au jour, à quelque cinquante mètres de la Seine.",Lutèce; Seine
"Dans un hôtel de Lille, M. H. Hallynch, d’Ypres, s’est pendu pour des motifs qui, dit une lettre de lui, seront bientôt connus.",de Lille; Ypres
La grève des maçons d’Oyonnax cesse (ils ont eu satisfaction sur trois points). Celle des maçons d’Agen et de Grenoble commence.,Oyonnax; Agen; Grenoble
"Un sexagénaire, M. Bone, d’Andigné (Sarthe), avait, ivre, si fort battu sa bonne qu’on allait le poursuivre. Ennuyé, il se pendit.",Andigné; Sarthe
"Sur la route de Soissons à Melun, à Quincy-Séguy (Seine-et-Marne), les fils téléphoniques ont été emportés par des voleurs de cuivre.",Soissons; Melun; Quincy-Séguy; Seine-et-Marne
"En vain parla-t-il d’un satyre ; on fit avouer à Porcher, de La Grange, près Cholet, que le meurtrier de sa femme c’est lui.",La Grange; Cholet
"Le règlement du maire d’Angers sur les processions interdit la rue aux bannières syndicales, chants non liturgiques et cannes.",Angers
"Laville, de Fournier (Ardèche), se coucha, mit sous son menton la bouche du fusil, déclencha le coup avec une ficelle. Mort.",Fournier; Ardèche
"Un homme d’une trentaine d’années s’est suicidé dans un hôtel de Maçon. « Ne cherchez pas mon nom », a-t-il écrit.",Maçon
"Le typhus sévit à Sidi-bel-Abbès, particulièrement sur les moissonneurs marocains, harassés par leurs travaux.",Sidi-bel-Abbès
"À peine hors de la prison de Nîmes, Féline a poignardé Julie Chalvidan qui lui résistait, et Paul Redoutet.",de Nîmes
"Sauvage, du 2e colonial, sera conduit aujourd’hui de Brest à Nantes ; il est inculpé d’antimllitarisme.",Brest; Nantes
"Thomas a arrêté les chevaux emballés de la comtesse Pereire ; mais déjà Martel, cocher d’un fiacre accroché, avait été jeté bas.",
"M. O. Calestroupat fit, à la Chambre, la connaissance d’une dame sans morgue. Soirée galante ; morne réveil : entôlé de 11.250 francs.",
"En costume de capitaine colonial, le vicomte de Perruchon, en six mois, capta 100.000 francs. Le Dépôt, et ni vicomte, ni uniforme.",Dépôt
Un romanichel a tué sa femme (elle était volage) près de Maisons-Laffitte. La tribu décampa avant l’arrivée des gendarmes.,Maisons-Laffitte
"Sous les yeux du juge Leydet, le crime de Créteii a été reconstitué par Georges et Joseph Raoul et Mlle Grosec.",
"Raoul Blanchard, du 123e d’infanterie, qui cyclait à Tonnay-Charente, s’est tué contre un mur.",Tonnay-Charente
"Prés de Saint-Chamond, un fabricant d’automobiles de Lyon-Montplaisir a écrasé sous ses roues la petite Faure.",Prés; Saint-Chamond
Les fêtes mutualistes de Marseille sont renvoyées du 30 juin à une date indéterminée : on y voudrait M. Pallières.,Marseille
"À Bordeaux, Anna Sicard, 27 ans, a blessé (tempe et bras droits) à coups de revolver son amant Teychêne.",Bordeaux
"Ayant pris à un officier d’Epernay 5.000 francs, le soldat Guillaume a imaginé une histoire de cambriolage, mais en vain.",Epernay
"V. Petit, de Marizy-Sainte-Geneviève (Aisne), voulait mourir, mais en joie ; il but deux litres de vin, un litre d’eau-de-vie, et mourut en effet.",Aisne
"Il paiera 16 francs, M. Godin, pour avoir, curé de Merfy (Marne), marié Mlle Lemaire avant qu’opérât le maire, père de l’épousée.",Merfy; Marne
"Trop jeunes et déjà mères, Mlles Meuzeret, de Saint-Barthélémy (Seine-et-Marne), et Garnier, de Chassagne (S.-et-L.), ont tué leurs fils.",Saint-Barthélémy; Seine-et-Marne; Garnier; Chassagne; S.-et-L.
Un rapide a passé sur deux coussinets de 12 kilos posés à La Taye (Eure-et-Loir) par des inconnus. Petite secousse pour les gens.,La Taye; Eure-et-Loir
"Quelqu’un fit boire un narcotique à Ch. Boulard, prit la sacoche de ce garçon de recette endormi et toucha les traites.",Ch
"Sur pétition de 5.500 personnes, la Société de tempérance de Reims souhaite que les apéritifs soient plus lourdement imposés.",Reims
"M. Alain Stéphan, de Guiclan (Finistère), qu’accuse son beau-père Goarnison, nie avoir mis le feu chez celui-ci.",Guiclan; Finistère
"Drosse avariée, le cuirassé Carnot, renonçant à atteindre Cherbourg, est rentré à Brest hier matin.",Drosse; Cherbourg; Brest
Un placard par lequel les femmes des prisonniers politiques protestent contre le régime du Bouguen est affiché à Brest.,Bouguen; Brest
"Peu avant de mourir, Mme Ren, de Lyon, fit arrêter Mme Lefays. Elle imputait son mal aux manœuvres de cette sage-femme.",Lyon
"À Menzeldjémil (Tunisie), Mme Chassoux, femme d’un commandant, eût été assassinée, mais son corset arrêta la lame.",Menzeldjémil; Tunisie
"Hardis garçons de 13 et 11 ans, Deligne et Julien partaient pour la « chasse au désert ». On les rapatrie du Havre à Paris.",du Havre; Paris
"Une vierge de Djiajelli, 13 ans, qu’un impudique drille de 10 ans sollicitait, l’a tué en trois coups de couteau.",Djiajelli
"Dans le feu d’une discussion, l’Italien Palambo, du Bausset (Var), a été blessé mortellement par son camarade Genvolino.",Bausset; Var
"Des gens (ceux, croit-on, qui tentaient mardi un déraillement) ont essayé d’incendier, à Saint-Mars (Finistère), la maison Labat.",Saint-Mars; Finistère
"Eug. Périchot, de Pailles, près Saint-Maixent, avait chez lui Mme Lemartrier. Eug. Dupuis vint l’y chercher. Eux le tuèrent. L’amour.",Pailles; Saint-Maixent
"L’Escargot, la Violette et Picasse ont été arrêtés à la gare de Saint-Jean (Bordeaux). Des écumeurs de trains, paraît-il.",L’Escargot; Violette; Picasse; gare de Saint-Jean; Bordeaux
"Sous des prétextes (son honneur), le colon Remania, de Guelma, a tué de cinq coups de couteau sa femme.",Guelma
"Des discours et la danse et les chants de cinquante adolescentes ont inauguré, à Neuilly, une statue d’Alfred de Musset.",Neuilly
"Mme Potereau, de Clichy, qui était neurasthénique, s’est tuée en se jetant par la fenêtre. Elle avait 30 ans.",Clichy
"Son képi de forestier s’étant envolé, Christian, qui dévalait en char la pente de Vologne (Vosges), sauta et, tombant, se tua.",Vologne; Vosges
"La foudre a frappé, à Dunkerque, des poseurs de paratonnerres. L’un d’eux tomba de 45 mètres dans la suie sans se tuer.",Dunkerque
"Rue Championnet, Hutter, qui échangeait des balles avec Poittevin, de la police, atteignit un curieux, le petit Guinoseau.",Rue Championnet; Poittevin; Guinoseau
"Maurice Barrès, qui y présidait « les prix », a tendrement harangué les fillettes de l’orphelinat alsacien du Vésinet.",Vésinet
L’Association des Lyonnais offrait hier un banquet à quelques peintres des Salons et au préfet de police.,Salons
"Fou d’alcool, Ballencker, de Levallois, père de sept enfants, a blessé sa femme d’une balle et s’est fracassé le crâne.",Levallois
"D’une balle de chassepot, P. Hautefeuille, 19 ans, a tué son père, à Fresnes-les-Rungis, et s’est tué d’une balle de revolver.",Fresnes-les-Rungis
"MM. Deshumeurs, de La Ferté-sous-Jouarre, et Fontaine, de Nancy, se sont tués en tombant l’un d’un camion, l’autre d’une fenêtre.",Ferté-sous-Jouarre; Fontaine; Nancy
"Déjà huit suicides à Montpont-en-Bresse en quelques mois. Cette fois, c’est le septuagénaire Lacroix qui s’est pendu.",Montpont-en-Bresse
"L’automobile de M. Olier-Larouse a tué le vieux M. Montgillard, qui se promenait dans Charolles.",Charolles
"À Montceau-les-Mines, Mlle Theureau, 5 ans, et près de Chagny, M. Pierrot, 65 ans, ont été écrasés par des trains.",Montceau-les-Mines; Chagny
"Parce qu’il était trop pauvre (une femme, trois enfants), le cantonnier Pellevoisin, de Melle, s’est pendu.",Pellevoisin
"La jalousie brutale d’H. Sainremy, de Bordeaux, lui a valu de sa femme cinq coups de revolver. Mort.",Bordeaux
"En huit jours, second cas de bigamie constaté à Toulon : il s’agit de la femme d’un ouvrier devenue celle d’un premier-maître.",Toulon
"Hier soir, rue Saint-Bon, V. Choine, 15 ans, a reçu dans la cuisse une balle qui a dû être tirée – pourquoi ? – d’une maison voisine.",rue Saint-Bon
"À 20 ans, M. Julien s’est brûlé la cervelle dans les w.-c. d’un hôtel de Fontainebleau. Chagrins sentimentaux.",w.-c; Fontainebleau
"À 5 heures du matin, M. P. Bouget fut abordé par deux hommes, rue Fondary. L’un lui creva l’œil droit, l’autre l’œil gauche. À Necker.",rue Fondary
"Rattrapé par un tramway qui venait de le lancer à dix mètres, l’herboriste Jean Désille, de Vanves, a été coupé en deux.",Vanves
"Parce qu’il préfère le drapeau blanc, M. Loas, maire de Plouézec, en avait lacéré un tricolore, et on l’a révoqué.",Plouézec
"À deux pas du concours hippique, à Toulouse, un ex-sous-officier, G. Durbach, qui, à 31 ans, était sans place, s’est tué.",Toulouse
"Une balle de la sentinelle a tué le détenu Chartrain, qui fuyait le pénitencier tunisien du camp de BordJ-Choubban.",BordJ-Choubban
"Pour le transport du charbon des navires (Toulon), nul des vingt-quatre soumissionnaires agréés ne fit d’offre ; les clauses les effraient.",Toulon
"Cassant la vitre du wagon, une pierre a crevé l’œil à un voyageur, train Bayonne-Toulouse. On stoppa. Plus personne.",Bayonne-Toulouse
"Du sel à la mer. Le Collburnary, dont c’était la cargaison, a coulé près de Camaret (Finistère). On put sauver l’équipage.",Collburnary; Camaret; Finistère
"Par un jeu savant de démissions, le maire et les conseillers municipaux de Brive retardent la construction des écoles.",Brive
"Onofrias Scarcello tua-t-il quelqu’un à Charmes (Haute-Marne) le 5 juin ? Quoi qu’il en soit, on l’a arrêté en gare de Dijon.",Charmes; Haute-Marne; gare de Dijon
Le curé de Monceau (Côte-d’Or) est fort empêché pour dire la messe. Des cambrioleurs l’ont privé de ses vases cultuels.,curé de Monceau; Côte-d’Or
"Parce que sa femme avait assez de lui, le tailleur d’habits Noblet, de Beaulon (Ille-et-Vilaine), l’a blessée grièvement de deux balles.",Beaulon; Ille-et-Vilaine
"On inquiétait le sexagénaire Roy, d’Echillais (Charente-Inférieure), pour ses façons envers sa servante, 11 ans. Il s’est donc pendu.",Echillais; Charente-Inférieure
"M. D…, commis greffier près le tribunal civil de Tours, a été arrêté. On veut qu’il ait lésé l’Enregistrement.",Tours
"Ayant, par six fois, planté son couteau dans le cou, la tête et le bras droit d’Apolline Baron, Ch. Sellas, son ex-amant, a fui.",
"Les trois Espit, de Saulzet-le-Froid (Pas-de-Calais), sautèrent de leur voiture dont le cheval s’emballait. L’un se tua, deux se blessèrent.",Espit; Saulzet-le-Froid; Pas-de-Calais
La terrible mégère brestoise Ilou déclare au juge : « La justice divine est pour moi ; j’irai au ciel. »,
Le conseil municipal de Brest a émis le vœu que soit supprimée la revue du 14 juillet : elle harasse les soldats.,Brest
"« Que la volonté d’Allah s’accomplisse ! » a dit le Kabyle Igoucinem, hier, à Bougie, devant la guillotine.",Kabyle Igoucinem; Bougie
"On vole des enfants à Rouen ! Tandis que quelqu’un maintenait Mme Thomas, sa mère et sa sœur lui enlevaient sa fille.",Rouen
On a encore célébré à Carhaix la mort du héros. Le rite ne varie pas : « La Tour d’Auvergne ! Mort au champ d’honneur ! »,Carhaix
"S’armant d’une baïonnette, Mme Boulanger, condamnée à de la prison, s’est ruée sur le public de l’audience, à Chambéry.",Chambéry
"Une jeune fille a vitriolé son amant, un Toulonnais haut placé, qui s’évadait, l’ayant rendue mère.",Toulonnais
"À huis clos, le tribunal de Toulon jugea, le 6 juillet, la galante Jeanne Renée qui, paraît-il, espionnait les côtes.",Toulon
"D’abord, on étrangla Mme Barbero, de Saint-André-Pradel, près Marseille, puis on mit le feu à ses habits pour donner le change.",Marseille
"Comme son train stoppait, Mme Parlucy, de Nanterre, ouvrit, se pencha. Passa un express qui brisa la tête et la portière.",Nanterre
"Dès que sa maîtresse, lasse de ses criailleries, fut sortie, H. Lheureux (126, rue Saint-Martin) imbiba tout de pétrole et alluma.",rue Saint-Martin
"Deux soldats, à Nancy, se gourmaient. L’intervention de M. Fr. Wesgerbin lui valut trois coups de couteau ; il a le poumon crevé.",Nancy
"Des matelots algériens du Cyclope ont traité très cruellement, à Rochefort, A. Bonnat et poignardé son amant, Royer.",Rochefort
"Yeux bandés, trois Faron, 2, 4 et 6 ans, ont été, à Monthureux, jetés en Saône par leur mère, une folle, qui les y a rejoints.",Faron; Monthureux; Saône
"Anna Méret, de Brest, voulut sauver sa fille, 5 ans, sur qui arrivait un train. Tamponnées, la mère est morte, l’enfant meurt.",Brest; Tamponnées
"Par haine d’amour, Alice Gallois, de Vaujours, a vitriolé son beau-frère et, par maladresse, un promeneur. Elle a déjà 14 ans.",
"Du publiciste Marodon, M. Billion du Plan, autre Bônois, a reçu au flanc droit trois centimètres de fer, en séton.",Plan; Bônois; séton
"Deux noyés trouvés à Suresnes et au Mesnil-le-Roi. Sur l’un, papiers au nom de J. Villaume ; sur l’autre, deux mouchoirs marqués L.",Suresnes; Mesnil-le-Roi
"Un quinquagénaire inconnu, énorme et gonflé encore par un mois dans l’eau, a été repêché à La Frette par M. Duquesne.",
"Le sergent Pouget tirait à la cible, camp de Souges (Gironde). Son fusil éclata, le blessant. Motif : de la terre dans le canon.",camp de Souges; Gironde
"Ivre, P. Mérinier, de Vigneux, frappa d’un échalas Cocot, qui l’emmenait du cabaret. Cocot l’assomma d’un coup de binette.",Vigneux; Cocot; Cocot
"À l’église des Chavannes (Savoie), la foudre a fondu les cloches et paralysé une dévote. Une trombe a dévasté la commune.",Chavannes; Savoie
"Les mitrons Depalle, de Belmont, et Laville, de Roanne, se sont noyés en Loire : perdu pied dans un trou.",Belmont; Laville; Roanne; Loire
"Joseph Vergers, de Belping (Pyrénées-Orientales), et Alph. Jérôme, de Pouxeux (Vosges), se sont noyés sans le faire exprès.",Belping; Pyrénées-Orientales; Pouxeux; Vosges
200 résiniers de Mimizan (Landes) sont en grève. Trois brigades de gendarmes et 100 fantassins du 34e les observent.,Mimizan; Landes
"Courbée pour sulfater sa vigne, une Beaumoise a reçu dans les reins une balle de son beau-frère Gauthey, 60 ans pourtant.",Courbée; Beaumoise
"Le chauffeur Calixte, qui s’enfuit à la nage, a jeté à la mer, à Marseille, l’officier mécanicien Bérenguier, que l’on repêcha.",Marseille
"De la grande rosace du portail de la cathédrale d’Amiens, chère à Ruskin, une pierre est tombée sur le perron.",cathédrale d’Amiens
"Le marin Le Douz a tenté d’étrangler Mme Favennec, de Brest, 70 ans. Arrêté, il déclare ne se rappeler rien.",Douz; Brest
"Plage Sainte-Anne (Finistère), deux baigneurs se noyaient. Un baigneur s’élança. De sorte que M. Étienne dut sauver trois personnes.",Plage Sainte-Anne; Finistère
"Malade et sans espoir de guérir, M. Ch. Bulteaux s’est ouvert les veines des poignets, bois de Clamart, et s’est pendu à une yeuse.",Bulteaux; Clamart
"De la digitaline tua la rentière Couchy, de Saint-Germain, qui d’abord, avait libellé lettre de faire-part et instructions pour obsèques.",
"Un bijoutier en faux du 3e arrondissement (nom inconnu) et sa femme péchaient en bateau, à Mézy. Elle tomba. Il plongea. Disparus.",Mézy
"Comme il relevait une ligne de fond à Champigny, M. Journet (rue Saint-Sabin, Paris) tomba dans la Marne. On ne le revit plus.",Champigny; rue Saint-Sabin; Paris; Marne
"Les frères Crème, de Pantin, ont été l’un tué, l’autre blessé, en intervenant, pour leur père, dans une bagarre.",Pantin
"S. M. Sisowath, à Marseille, a partagé son temps entre ses danseuses, un pédicure et l’exposition coloniale.",Marseille
Gégot a poignardé Quérénec. Ces deux marins du torpilleur « 250 » aimaient la même Brestoise.,Gégot; Quérénec; Brestoise
"Au Mans, le soldat Hervé Aurèle, du 117e, a frénétiquement rossé passants et agents. On l’a capturé à grand'peine.",Mans
"Cinq inconnus ont roué de coups de bâton quatre Manceaux en train de pêcher. L’un de ceux-ci, M. A. Poiron, est gravement blessé.",
"M. Guigne, de Chalon, en voulant sauver des enfants, que l’on sauva d’autre part, s’est noyé en Saône.",Chalon; Saône
"Épileptique, une fermière de Saint-Jean-les-Deux-Jumeaux (Seine-et-Marne), Mme Robeis, tomba la tête dans une jarre de lait. Asphyxiée.",Épileptique; Seine-et-Marne
"Près de Brioude, un ours étouffait un enfant. Des paysans fusillèrent la bête et faillirent lyncher son montreur.",Brioude
"Amant délaissé, Claude Cousin a grièvement blessé, à Créteil, Louise Bisset et M. Richereau qui intervenait.",Créteil
Mme Eugène Manuel refusait de payer une seconde fois le monument funèbre de son mari. Le tribunal lui donne gain de cause.,
"À M’sila (Constantine), Amari a tué sa sœur, chez qui sa femme, qu’il brutalisait, avait trouvé refuge.",M’sila; Constantine
"Aux Jobards (Loiret), M. David, furieux que sa femme n’aimât pas que lui, l’a tuée à coups de fourche et de fusil.",Jobards; Loiret
"Le Lyonnais Frachet, mordu par un carlin et cru guéri (Institut Pasteur), a voulu mordre sa femme et est mort enragé.",Lyonnais
"Sueurs, prostration, éruption, papulo-vésiculeuse : suette picarde. À Rouillac (Charente), sur 500 habitants, 150 l’ont.",papulo-vésiculeuse : suette picarde; Rouillac; Charente
"Du plomb n° 1, de la poudre et des clous dans un seau à mèche : engin trouvé près du logis de M. Martin, magistrat rémois.",
Le préfet maritime de Brest a puni de vingt-neuf à soixante jours de prison l’indiscipline de quelques marins de l’Amiral-Aube.,Brest
"À Toulon, une jalouse, la chanteuse Rosine Ferrébeuf, a blessé d’une balle à la nuque son amant, le chef d’orchestre Cunq.",Toulon
"La cour de Nancy a condamné à quinze jours de prison et 200 francs, M. Gosse, curé de Bennay, qui outragea le percepteur, à l’inventaire.",Nancy; Bennay
"Le conseil de guerre de Lorient a acquitté le capitaine de frégate de l’Espinay, qui malmena son propriétaire, un juge de paix.",Lorient
"Une fillette, qui avait subi bien des outrages, a été trouvée morte à Sallaoun (Constantine). Manquaient un bras, une jambe.",Sallaoun; Constantine
"M. Ozanne, ex-maire, a reçu à coups de fusil, dont l’un porta, l’huissier Vieillot, de Falaise, et s’est suicidé.",Falaise
"Pour la gruger, le Marseillais Philippe se fit prendre avec sa maîtresse en galant délit par un faux garde champêtre. Arrêté.",Marseillais
"M. Chevreuil, de Cabourg, sauta d’un tramway en marche, se cogna contre un arbre, roula sous son tram et mourut là.",Cabourg
"Entre Arabes de Douaouda : un couple a capturé un galant trop hardi et l’a mutilé, annulant à jamais sa concupiscence.",Douaouda
"Sans qu’on tente de la mater, la meurtrière épidémie de suette picarde sévit aussi à Gourville et Saint-Cybardeaux (Charente).",Gourville; Saint-Cybardeaux; Charente
"Deux mois de prison infligés à Blanchard, de Villerupt, ont été doublés par la cour de Nancy, volontiers dure aux grévistes.",Villerupt; Nancy
"Signes distinctifs d’un inconnu repêché au barrage de Bezons : la jambe gauche ankylosée, un fantassin tatoué sur le bras droit.",barrage de Bezons
"À vertu égale, différent salaire : la rosière des Granges-le-Roi, 250 francs ; celle de Magny-en-Vexin, 300 ; 500, celle d’Argenteuil.",Granges-le-Roi; Magny-en-Vexin; Argenteuil
"Île de la Grande-Jatte, une discussion des ouvriers Werck et Pigot a fini par trois balles que tira celui-ci et que reçut celui-là.",Île de la Grande-Jatte
"Tombée d’un train lancé à toute vitesse, Marie Steckel, de Saint-Germain, 3 ans, a été ramassée jouant sur les cailloux du ballast.",
"Jugeant sa fille (19 ans) trop peu austère, l’horloger stéphanois Jallat l’a tuée. Il est vrai qu’il lui reste onze autres enfants.",
"Une jeune femme nocturne a asséné un coup de hache à A. Renaudy, dans un cabaret du boulevard Rochechouart, puis est partie.",boulevard Rochechouart
La vertu à Neuilly : Mlles Fétu et Murât ont été couronnées rosières. Le lieutenant B. de Treil a rapporté au commissariat un réticule.,Neuilly; Mlles Fétu
"Le monument Daubigny, dû à l’initiative d’Édouard Philippe et au ciseau de M. Fagel, a été inauguré à Anvers-sur-Oise.",monument Daubigny; Anvers-sur-Oise
"Il est exact que le maire de Saint-Gervais (Gironde) a été suspendu, mais non pas qu’il ait eu de condamnation.",Saint-Gervais; Gironde
"Les membres et la tête de M. Louis Lévêque, d’Aubenas, ont été mis en cendres par un incendie. On n’a retrouvé que le tronc.",Aubenas
"Ciseaux à la main, Marie Le Goeffic se balançait sur une escarpolette. Aussi, tombant, se creva-t-elle le ventre. À Bretonneau.",
"Sur la berge, à Saint-Cloud, on a trouvé le sabre et l’uniforme du soldat Baudet, disparu le 11. Meurtre, suicide ou mise en scène ?",Saint-Cloud
"Avec du cyanure de potassium, l’ingénieur chimiste Bel, qui avait des ennuis de famille, s’est empoisonné, 13, rue de Londres.",rue de Londres
"Pour motifs inconnus, le fils d’un député hongrois, M. Warmann, s’est asphyxié dans un family-house de la rue Saint-Guillaume.",rue Saint-Guillaume
"Par artifices chimiques, des filous rendent lie-de-vin des timbres nouveaux de 10 centimes et les vendent comme rarissimes aux naïfs.",
"Au faîte de la gare d’Enghien, un peintre a été électrocuté. On entendit claquer ses mâchoires, et il s’abattit sur la marquise.",gare d’Enghien
"Un lasso à la main et ululant, Kieffer, de Montreuil, en deux ans interné trois fois, galopait. On perdit sa trace. Il se sera pendu.",Kieffer; Montreuil
"Toutes les amazones en panique. Le manège de cochons Legrand, place des Fêtes, Clichy, a flambé à 6 heures du soir. Dégâts : 18.000 francs.",cochons Legrand; Fêtes; Clichy
"Croyant reconnaître, hier, ses agresseurs de lundi, M. Liester, de Clichy, tira. Naturellement, un passant (M. Bardet) reçut la balle.",Clichy
"Les puces de son voisin Giocolino, qui en est dompteur, harcelaient M. Sauvin. Il voulut s’emparer de leur boîte et reçut deux balles.",Giocolino
"Attaqué chez lui, rue de Meaux, par les frères Prunier, Terier riposta. Lui et l’un d’eux sont maintenant à l’hôpital ; l’autre au Dépôt.",Meaux; Dépôt
"M. Linz-Veren s’est fracturé le crâne, sa motocyclette ayant abordé, avenue Philippe-Auguste, l’automobile de M. Lardy.",
"Une auto, qui vite décampa, a renversé une voiture, à Neuilly. Le cocher, Ch. Jacques, crâne fracturé ; M. Dumot, jambes rompues.",Neuilly
"Sa femme l’avait quitté. M. Bassot, de La Garenne-Colombes, tenta de s’asphyxier au charbon de bois. Il est mourant à Beaujon.",La Garenne-Colombes; Beaujon
"Acide nitrique additionné de laudanum, breuvage qu’avala M. Paul Malauzet, de Montrouge, en apprenant que sa femme le trompait.",Montrouge
"Au jardin de son père, le fantassin colonial Alphan, en congé à Villejulf et que le rhum et la fièvre exaltaient, s’est pendu.",
"Une Lorraine de 83 ans, Mme Lautin, qui venait de s’installer à Noisy-le-Sec, chez sa fille, est perdue depuis samedi matin.",Lorraine; Noisy-le-Sec
"F. Martineau est mourant à Laënnec : une auto, à Boulogne, lui passa dessus. À Saint-Maur, le cocher Qillot s’est fendu le crâne.",Laënnec; Boulogne; Saint-Maur; cocher Qillot
"Une fruitière d’Issy, Léontine Brachot, dont le puits est profond de 15 mètres, s’y est jetée. On l’a tirée de là, mourante.",Issy
Un négociant de Saint-Gaudens surprit à Boussens sa femme enlacée à un barbier. Il tira. L’amant fut blessé ; l’amante s’enfuit.,Saint-Gaudens
"D’un coup de matraque, une Arabe de Tebour-souk (Tunisie) a tué son mari, homme soupçonneux et brutal.",Tebour-souk; Tunisie
"Les jeux de l’amour à Béziers : Corniod, qui avait vécu sept ans avec Rosalie Petit, l’a percée de deux balles et s’est poignardé.",Béziers; Corniod
"M. Chanudet sera huit ans reclus (assises du Cher). Notaire aux Bourdelins, il s’était, des faux aidant, approprié 137.000 fr.",du Cher; Bourdelins
"Congédié par les Ponts et Chaussées, Pajas, vieux laveur de cale, a sauté en Garonne, à Bordeaux, un sac de pavés au cou.",Congédié; Ponts; Chaussées; Pajas; Garonne; Bordeaux
"Le chanteur Luigi Ognibene a blessé de deux balles, à Caen, Madelon Deveaux, qui ne voulait pas laisser monopoliser sa beauté.",Caen
"Raoul G…, d’Ivry, rentra à l’improviste, mari indélicat, et perça de son couteau sa femme, qui s’ébattait aux bras d’un ami.",Ivry
"À la corrida de Béziers, un picador fut blessé, et un taureau, qui avait sauté la barrière, endommagea de sa corne un curieux.",de Béziers
"Après l’avoir tamponnée, M. H. B., négociant à Montmort, mit dans son auto Mme B., et la déposa mourante à l’hôpital de Reims.",Montmort; Reims
"Jules Rotti, un de nos plus jeunes cambrioleurs (il a 14 ans), a été arrêté à Boulogne : il y forçait un coffre-fort.",Boulogne
"Comme son camarade refusait de le tuer, un garçon de 19 ans, de Liffol (Haute-Marne), s’est fait décapiter par un train.",Liffol; Haute-Marne
"Pour l’avoir interdite à un inspecteur du travail, le directeur de l’exposition de Marseille est condamné à 500 fr d’amende.",Marseille
"Cru espion, un ex-employé des bureaux de l’artillerie a été arrêté à Blainville-sur-l’Eau et écroué à Épinal.",Épinal
"Accident ou, c’est plus probable, suicide, Mme Veit et sa fille Antoinette, 9 ans, se sont noyées dans le canal, à Nancy.",Nancy
"Quoi ! ces enfants juchés sur son mur ! De huit coups de feu, M. Olive, propriétaire toulonnais, les en fit déguerpir tout en sang.",
Bien des Dunkerquois sont morts à la guerre. Leur monument s’inaugurait hier sous la présidence Guillain et Trystram.,Dunkerquois; Trystram
"Nény, Pruvost père et fils et autres « rescapés » de Courrières sont partis pour Herne, remercier les sauveteurs westphaliens.",Courrières; Herne
"À Verlinghem (Nord), Mme Ridez, 30 ans, a été égorgée par un voleur, cependant que son mari était à la messe.",Verlinghem; Nord
"D’adjoint au maire de Saint-Étienne le socialiste Plantevin devient ce maire par 22 voix. Il remplace M. Ledin, élu député.",Saint-Étienne
"Dans le lac d’Annecy, trois jeunes gens nageaient. L’un, Janinetti, disparut. Plongeons des autres. Ils le ramenèrent, mais mort.",lac d’Annecy
